mes,anio,ipc
Enero,2003,50.42
Febrero,2003,50.98
Marzo,2003,51.51
Abril,2003,52.1
Mayo,2003,52.36
Junio,2003,52.33
Julio,2003,52.26
Agosto,2003,52.42
Septiembre,2003,52.53
Octubre,2003,52.56
Noviembre,2003,52.75
Diciembre,2003,53.07
Enero,2004,53.54
Febrero,2004,54.18
Marzo,2004,54.71
Abril,2004,54.96
Mayo,2004,55.17
Junio,2004,55.51
Julio,2004,55.49
Agosto,2004,55.51
Septiembre,2004,55.67
Octubre,2004,55.66
Noviembre,2004,55.82
Diciembre,2004,55.99
Enero,2005,56.45
Febrero,2005,57.02
Marzo,2005,57.46
Abril,2005,57.72
Mayo,2005,57.95
Junio,2005,58.18
Julio,2005,58.21
Agosto,2005,58.21
Septiembre,2005,58.46
Octubre,2005,58.6
Noviembre,2005,58.66
Diciembre,2005,58.7
Enero,2006,59.02
Febrero,2006,59.41
Marzo,2006,59.83
Abril,2006,60.09
Mayo,2006,60.29
Junio,2006,60.48
Julio,2006,60.73
Agosto,2006,60.96
Septiembre,2006,61.14
Octubre,2006,61.05
Noviembre,2006,61.19
Diciembre,2006,61.33
Enero,2007,61.8
Febrero,2007,62.53
Marzo,2007,63.29
Abril,2007,63.85
Mayo,2007,64.05
Junio,2007,64.12
Julio,2007,64.23
Agosto,2007,64.14
Septiembre,2007,64.2
Octubre,2007,64.2
Noviembre,2007,64.51
Diciembre,2007,64.82
Enero,2008,65.51
Febrero,2008,66.5
Marzo,2008,67.04
Abril,2008,67.51
Mayo,2008,68.14
Junio,2008,68.73
Julio,2008,69.06
Agosto,2008,69.19
Septiembre,2008,69.06
Octubre,2008,69.3
Noviembre,2008,69.49
Diciembre,2008,69.8
Enero,2009,70.21
Febrero,2009,70.8
Marzo,2009,71.15
Abril,2009,71.38
Mayo,2009,71.39
Junio,2009,71.35
Julio,2009,71.32
Agosto,2009,71.35
Septiembre,2009,71.28
Octubre,2009,71.19
Noviembre,2009,71.14
Diciembre,2009,71.2
Enero,2010,71.69
Febrero,2010,72.28
Marzo,2010,72.46
Abril,2010,72.79
Mayo,2010,72.87
Junio,2010,72.95
Julio,2010,72.92
Agosto,2010,73.0
Septiembre,2010,72.9
Octubre,2010,72.84
Noviembre,2010,72.98
Diciembre,2010,73.45
Enero,2011,74.12
Febrero,2011,74.57
Marzo,2011,74.77
Abril,2011,74.86
Mayo,2011,75.07
Junio,2011,75.31
Julio,2011,75.42
Agosto,2011,75.39
Septiembre,2011,75.62
Octubre,2011,75.77
Noviembre,2011,75.87
Diciembre,2011,76.19
Enero,2012,76.75
Febrero,2012,77.22
Marzo,2012,77.31
Abril,2012,77.42
Mayo,2012,77.66
Junio,2012,77.72
Julio,2012,77.7
Agosto,2012,77.73
Septiembre,2012,77.96
Octubre,2012,78.08
Noviembre,2012,77.98
Diciembre,2012,78.05
Enero,2013,78.28
Febrero,2013,78.63
Marzo,2013,78.79
Abril,2013,78.99
Mayo,2013,79.21
Junio,2013,79.39
Julio,2013,79.43
Agosto,2013,79.5
Septiembre,2013,79.73
Octubre,2013,79.52
Noviembre,2013,79.35
Diciembre,2013,79.56
Enero,2014,79.95
Febrero,2014,80.45
Marzo,2014,80.77
Abril,2014,81.14
Mayo,2014,81.53
Junio,2014,81.61
Julio,2014,81.73
Agosto,2014,81.9
Septiembre,2014,82.01
Octubre,2014,82.14
Noviembre,2014,82.25
Diciembre,2014,82.47
Enero,2015,83.0
Febrero,2015,83.96
Marzo,2015,84.45
Abril,2015,84.9
Mayo,2015,85.12
Junio,2015,85.21
Julio,2015,85.37
Agosto,2015,85.78
Septiembre,2015,86.39
Octubre,2015,86.98
Noviembre,2015,87.51
Diciembre,2015,88.05
Enero,2016,89.19
Febrero,2016,90.33
Marzo,2016,91.18
Abril,2016,91.63
Mayo,2016,92.1
Junio,2016,92.54
Julio,2016,93.02
Agosto,2016,92.73
Septiembre,2016,92.68
Octubre,2016,92.62
Noviembre,2016,92.73
Diciembre,2016,93.11
Enero,2017,94.07
Febrero,2017,95.01
Marzo,2017,95.46
Abril,2017,95.91
Mayo,2017,96.12
Junio,2017,96.23
Julio,2017,96.18
Agosto,2017,96.32
Septiembre,2017,96.36
Octubre,2017,96.37
Noviembre,2017,96.55
Diciembre,2017,96.92
Enero,2018,97.53
Febrero,2018,98.22
Marzo,2018,98.45
Abril,2018,98.91
Mayo,2018,99.16
Junio,2018,99.31
Julio,2018,99.18
Agosto,2018,99.3
Septiembre,2018,99.47
Octubre,2018,99.59
Noviembre,2018,99.7
